X,Y,Z
25,1,0.55334
27,1,0.65768
29,1,0.66427
31,1,0.55959
22,2,0.54864
24,2,0.90052
26,2,1.0844
28,2,1.1094
30,2,1.0989
32,2,0.91256
34,2,0.5627
19,3,0.54891
21,3,0.89575
23,3,1.1729
25,3,1.3805
27,3,0.99265
29,3,1.0116
31,3,1.3972
33,3,1.1905
35,3,0.91197
37,3,0.56132
18,4,0.65448
20,4,1.0724
22,4,1.3709
24,4,1.0121
26,4,0.9811
28,4,1.3058
30,4,0.99463
32,4,1.0343
34,4,1.393
36,4,1.0983
38,4,0.67672
17,5,0.65675
19,5,1.088
21,5,0.97693
23,5,0.96617
25,5,1.3453
27,5,1.0869
29,5,1.0996
31,5,1.2706
33,5,0.98518
35,5,1.0012
37,5,1.1102
39,5,0.678
16,6,0.5442
19,6,1.0678
22,6,0.97794
25,6,1.2541
28,6,1.06
31,6,1.3585
34,6,1.3771
37,6,1.3682
40,6,1.0795
43,6,1.2708
46,6,0.99918
49,6,1.0826
52,6,0.55232
17,7,0.87857
19,7,1.3312
21,7,0.91167
23,7,1.0207
25,7,1.3386
27,7,0.90181
29,7,0.91983
31,7,1.3467
33,7,1.0276
35,7,0.91844
37,7,1.3407
39,7,0.88454
16,8,0.54501
18,8,1.1379
20,8,0.95153
22,8,0.8549
24,8,1.2815
26,8,0.91768
28,8,0.85094
30,8,0.91769
32,8,1.2815
34,8,0.8549
36,8,0.95152
38,8,1.1379
40,8,0.54501
17,9,0.88453
19,9,1.3407
21,9,0.91844
23,9,1.0276
25,9,1.3467
27,9,0.91983
29,9,0.9018
31,9,1.3386
33,9,1.0207
35,9,0.91165
37,9,1.3312
39,9,0.87856
16,10,0.55232
18,10,1.0826
20,10,0.99917
22,10,1.2708
24,10,1.0794
26,10,1.3682
28,10,1.3771
30,10,1.3585
32,10,1.0599
34,10,1.2541
36,10,0.97793
38,10,1.0678
40,10,0.54419
17,11,0.67799
19,11,1.1102
21,11,1.0012
23,11,0.98516
25,11,1.2706
27,11,1.0996
29,11,1.0869
31,11,1.3453
33,11,0.96614
35,11,0.97691
37,11,1.088
39,11,0.65674
18,12,0.67671
20,12,1.0983
22,12,1.393
24,12,1.0342
26,12,0.99461
28,12,1.3058
30,12,0.98109
32,12,1.0121
34,12,1.3709
36,12,1.0724
38,12,0.65447
19,13,0.56131
21,13,0.91196
23,13,1.1905
25,13,1.3971
27,13,1.0116
29,13,0.99265
31,13,1.3805
33,13,1.1729
35,13,0.89574
37,13,0.5489
22,14,0.56269
24,14,0.91255
26,14,1.0989
28,14,1.1094
30,14,1.0843
32,14,0.90051
34,14,0.54863
25,15,0.55958
27,15,0.66427
29,15,0.65768
31,15,0.55334
